Category,Business Terms,Example Sentence
Pricing,Low-priced,This phone is low-priced compared to others.
Pricing,Expensive,Luxury cars are expensive.
Pricing,Cheap,This store sells cheap clothes.
Pricing,Discounting,They are discounting old stock.
Pricing,Price war,Supermarkets are in a price war.
Pricing,Price hike,There was a sudden price hike in fuel.
Marketing and Sales,Advertising,They launched a new advertising campaign.
Marketing and Sales,Commercial,The commercial aired during the Super Bowl.
Marketing and Sales,Salesperson,The salesperson demonstrated the product.
Marketing and Sales,Sales forecast,They revised the sales forecast.
Marketing and Sales,Sales growth,The company experienced sales growth.
Marketing and Sales,Turnover,The company’s turnover reached $1M.
E-Commerce,E-commerce,E-commerce has changed shopping habits.
E-Commerce,B2C (Business-to-Consumer),Amazon operates in B2C e-commerce.
E-Commerce,Social networking,Social networking helps businesses grow.
E-Commerce,Online selling,Online selling is growing fast.
Sales and Costs,Sales revenue,Sales revenue increased this quarter.
Sales and Costs,Sales meeting,The sales meeting focused on targets.
Sales and Costs,Sales director,The sales director oversees sales strategy.
Sales and Costs,Sales volume,The company increased its sales volume.
Profitability,Profit-making,The company is profit-making.
Profitability,Loss-making,The startup is loss-making.
Profitability,Break-even point,They reached the break-even point.
Profitability,Cash cow,A cash cow generates steady income.
Finance and Payments,Invoice,The company sent an invoice to the client.
Finance and Payments,Trade credit,Trade credit allows delayed payments.
Finance and Payments,Cashflow,Managing cashflow is essential.
Finance and Payments,Debt,Debt affects financial stability.
Finance and Payments,Accounts payable,Accounts payable lists suppliers to pay.
Assets & Balance Sheet,Balance sheet,The balance sheet summarizes financials.
Assets & Balance Sheet,Fixed assets,The company owns fixed assets like buildings.
Assets & Balance Sheet,Depreciation,Depreciation reduces asset value.
Assets & Balance Sheet,Liabilities,Liabilities include debts and loans.
Work and Jobs,Work,I work in a big company.
Work and Jobs,Job,She loves her job as a manager.
Work and Jobs,Full-time job,He has a full-time job at a bank.
Work and Jobs,Part-time job,She works a part-time job in the evening.
Work and Jobs,Temporary job,This is just a temporary job for six months.
Work and Jobs,Office worker,He is an office worker in a large corporation.
Recruitment and Selection,Recruitment,The company is recruiting new employees.
Recruitment and Selection,Recruitment agencies,Recruitment agencies help companies find employees.
Recruitment and Selection,Agency,An agency provides services to businesses.
Recruitment and Selection,Headhunters,Headhunters look for talented professionals.
Recruitment and Selection,Employment agencies,Employment agencies match job seekers with employers.
Recruitment and Selection,Application,You need to fill out an application for this job.
Recruitment and Selection,Apply for a job,She applied for a job online.
Skills and Qualifications,Qualifications,She has the qualifications for this role.
Skills and Qualifications,Training,He is training to become a programmer.
Skills and Qualifications,Graduate,"After university, she became a graduate."
Skills and Qualifications,In-house training,The company offers in-house training sessions.
Skills and Qualifications,Work experience,He gained a lot of work experience over the years.
Skills and Qualifications,Management development,Management development programs help leaders grow.
Pay and Benefits,Salary,Her salary is paid every month.
Pay and Benefits,Basic salary,"His basic salary is $3,000 per month."
Pay and Benefits,Benefits package,The benefits package includes health insurance.
Pay and Benefits,Perks,One of the perks is free coffee at work.
Pay and Benefits,Minimum wage,The minimum wage in this country is increasing.
Pay and Benefits,Commission,He earns a commission for every sale he makes.
Pay and Benefits,Fringe benefits,The company offers fringe benefits like gym memberships.
Pay and Benefits,Health plan,Her health plan covers medical expenses.
Pay and Benefits,Pension,He receives a pension after retirement.
People and Workplaces,Management,The management team makes important decisions.
People and Workplaces,Workforce,The company has a workforce of 500 people.
People and Workplaces,Employee,Each employee receives training.
People and Workplaces,Personnel,The personnel department manages recruitment.
People and Workplaces,White-collar workers,White-collar workers usually work in offices.
People and Workplaces,Blue-collar workers,Blue-collar workers do manual labor.
Management and Administration,Office,His office is on the 10th floor.
Management and Administration,Headquarters,The company’s headquarters is in New York.
Management and Administration,Open-plan offices,Open-plan offices are popular in tech companies.
Management and Administration,Administration,The administration team handles paperwork.
Management and Administration,Support staff,Support staff assist in daily tasks.
Management and Administration,Technical support,Technical support helps customers with issues.
Labour and Employment,Labour,Labour costs are high in this industry.
Labour and Employment,Labour costs,The labour dispute led to a strike.
Labour and Employment,Labour dispute,The labour leader spoke at the meeting.
Labour and Employment,Labour leader,Trade unions protect workers' rights.
Labour and Employment,Trade unions,Workers went on strike for better wages.
Labour and Employment,Strike,The company banned overtime due to budget cuts.
Labour and Employment,Overtime ban,He is planning his career path.
Career and Promotion,Career paths,She got a promotion last year.
Career and Promotion,Promotion,He will retire at 65.
Career and Promotion,Retirement,She decided to resign from her job.
Career and Promotion,Resign,Senior employees have more responsibilities.
Career and Promotion,Senior,He was demoted after poor performance.
Career and Promotion,Demoted,The company is downsizing to cut costs.
Restructuring and Layoffs,Downsizing,Efficiency is key to a successful business.
Restructuring and Layoffs,Efficiency,The company is restructuring its departments.
Restructuring and Layoffs,Restructuring,The business made a huge profit this year.
Restructuring and Layoffs,Profit,The company hierarchy defines roles clearly.
Restructuring and Layoffs,Company hierarchy,Many workers are on temporary contracts.
Restructuring and Layoffs,Temporary contracts,She faced discrimination at work.
Work Problems,Discrimination,The glass ceiling prevents some people from advancing.
Work Problems,Glass ceiling,He experienced racial discrimination at his job.
Work Problems,Racial discrimination,Workplace bullying is a serious issue.
Work Problems,Bullying,The company has a zero-tolerance policy on harassment.
Work Problems,Harassment,Industrial accidents can happen in factories.
Work Problems,Industrial accidents,The CEO makes major company decisions.
Managers and Executives,CEO,The CFO handles financial operations.
Managers and Executives,CFO,The COO manages daily operations.
Managers and Executives,COO,The chairman leads the board meetings.
Managers and Executives,Chairman,The boardroom is where executives meet.
Managers and Executives,Boardroom,Executives earn high salaries.
Managers and Executives,Executives,The Vice-President oversees company strategy.
Managers and Executives,Vice-President (VP),
