Category,Business Terms,Example Sentence
Accounting,Accountant,The accountant prepares financial reports.
Accounting,Auditor,An auditor checks the company’s accounts.
Accounting,Book-keeper,The book-keeper records financial transactions.
Accounting,Audit,The company had its yearly audit.
Accounting,Creative Accounting,Creative accounting made the losses look smaller.
Financial Reporting,Financial Results,Financial results were announced last week.
Financial Reporting,Annual Report,The annual report shows the company’s performance.
Financial Reporting,Fiscal Year,The fiscal year starts in April.
Capital and Investment,Capital,The company needs capital to expand.
Capital and Investment,Investment,Investment in technology helped the business grow.
Capital and Investment,Stake,He holds a 10% stake in the company.
Shares and Loans,Shareholder,Shareholders receive dividends every year.
Shares and Loans,Stock,Tesla stock price increased this month.
Shares and Loans,Dividends,The company paid dividends to investors.
Shares and Loans,Equity,Equity represents ownership in a company.
Debt and Financial Issues,Debt,The company has a large debt to repay.
Debt and Financial Issues,Interest,The bank charges high interest on loans.
Debt and Financial Issues,Borrowing,Borrowing has increased due to low interest rates.
Mergers and Takeovers,Merger,The two companies agreed to a merger.
Mergers and Takeovers,Acquisition,They completed the acquisition of a competitor.
Mergers and Takeovers,Takeover,A takeover bid was rejected by the board.
Bankruptcy and Liquidation,Bankruptcy,The company filed for bankruptcy.
Bankruptcy and Liquidation,Liquidation,The firm is in liquidation.
Bankruptcy and Liquidation,Receivership,A receiver was appointed to manage the assets.
Financial Markets,Stock Market,The stock market fluctuates daily.
Financial Markets,Bonds,Government bonds are considered safe investments.
Financial Markets,Commodities Exchange,The commodities exchange deals with raw materials.
Stock Trading,Bull Market,The market is currently in a bull market.
Stock Trading,Bear Market,A bear market means falling stock prices.
Stock Trading,Market Index,The market index tracks stock performance.
Stock Trading,Trading,Stock trading is very volatile today.
